Country,Units,Scale,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Namibia,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.838,2.854,3.014,2.891,3.254,3.503,3.494,3.636,3.215,3.384,3.911,3.55,3.369,4.932,6.617,7.258,7.984,8.73,8.496,8.915,11.281,12.423,13.016,12.168,12.434,11.45,10.719,12.883,13.672,12.541,10.564,11.381,12.023,2020
Niger,U.S. dollars,Billions,3.531,3.056,2.84,2.538,2.056,2.027,2.68,3.143,3.21,3.068,3.491,3.271,3.372,3.041,1.935,2.296,2.397,2.285,2.639,2.532,2.235,2.442,2.772,3.382,3.746,4.372,4.743,5.716,7.279,7.324,7.838,8.754,9.412,10.206,10.83,9.684,10.35,11.185,12.85,12.912,13.698,15.899,18.528,2019
Nigeria,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.966,568.499,492.437,404.649,375.745,421.737,448.12,429.423,514.049,588.419,2019
Senegal,U.S. dollars,Billions,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.307,24.448,27.927,30.521,2019
Sierra Leone,U.S. dollars,Billions,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.119,4.204,4.42,4.445,2018
Somalia,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.721,4.944,4.92,5.367,5.641,2019
South Africa,U.S. dollars,Billions,82.981,85.463,78.415,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.701,152.611,137.686,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135,351.354,302.114,329.529,344.139,2020
South Sudan,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,4.143,4.074,4.461,5.345,2018
Sudan,U.S. dollars,Billions,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.536,64.883,47.837,35.891,33.564,34.37,35.827,35.917,2019
Tanzania,U.S. dollars,Billions,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,63.244,65.919,70.068,2019
Togo,U.S. dollars,Billions,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.117,7.221,7.495,8.627,9.361,2016
Tunisia,U.S. dollars,Billions,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.172,41.801,39.627,40.139,39.169,39.553,44.265,46.527,2019
Uganda,U.S. dollars,Billions,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.445,29.557,31.384,34.095,37.788,37.613,41.271,44.83,2019
Zambia,U.S. dollars,Billions,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.529,18.955,19.083,2019
Zimbabwe,U.S. dollars,Billions,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,21.093,19.273,21.038,26.085,29.363,2019
